severity,age_hours,route_overlap,is_chokepoint,freight_value_musd,vessel_count_nearby,weather_severity,port_congestion_pct,risk_label
5,1.0,0.9,1,120,8,3,85,92
4,2.5,0.7,1,95,6,2,70,78
3,5.0,0.4,0,60,3,1,40,45
5,0.5,1.0,1,150,10,4,90,97
2,12.0,0.2,0,30,2,1,25,20
4,3.0,0.6,1,80,5,3,65,71
1,24.0,0.1,0,15,1,0,15,8
5,1.5,0.85,1,130,9,3,88,90
3,6.0,0.3,0,55,3,2,45,42
4,2.0,0.75,1,100,7,2,72,75
2,10.0,0.25,0,35,2,1,28,22
5,0.8,0.95,1,140,9,4,92,95
1,20.0,0.15,0,18,1,0,18,10
3,7.0,0.35,1,58,4,2,50,55
4,4.0,0.55,1,85,5,3,60,68
5,1.2,0.88,1,135,9,4,89,93
2,15.0,0.2,0,32,2,1,22,18
3,5.5,0.4,0,62,3,1,42,44
4,2.8,0.65,1,90,6,2,68,72
1,22.0,0.1,0,12,1,0,12,6
5,0.6,0.92,1,145,10,4,91,96
2,11.0,0.22,0,28,2,1,26,20
4,3.5,0.58,1,78,5,2,63,66
3,6.5,0.32,1,52,3,2,48,52
5,1.8,0.8,1,125,8,3,84,87
1,18.0,0.12,0,20,1,0,20,9
4,2.2,0.7,1,98,6,3,69,74
2,13.0,0.18,0,25,2,0,24,15
3,8.0,0.28,0,45,3,1,38,36
5,1.0,0.9,1,128,9,4,86,91
4,3.2,0.6,1,82,5,2,61,67
2,9.0,0.24,0,33,2,1,27,21
1,25.0,0.08,0,10,1,0,10,5
5,0.9,0.87,1,138,9,3,87,89
3,5.8,0.38,0,57,3,1,41,43
4,2.6,0.68,1,92,6,3,70,73
2,14.0,0.2,0,29,2,1,23,17
5,1.4,0.83,1,132,8,4,85,88
3,6.2,0.33,1,50,3,2,46,49
1,19.0,0.14,0,16,1,0,17,8
